SEQ,VESSELCODE,PIC,MACH_DESC,MAKER_DESC,MATERIAL,MATERIAL_DESC,PART_NO,ROB,Recondition,WORK,LAW,Optimum,UNIT,UNIT_PRICE,EXPENSIVE_AMT,MAJOR_TARGET_AMT,Vessel_survey_item
62,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008204,RE-CIRCULATION(ABOVE 15PPM)(5K-40A),GRS-100EB-03-N5,0,0,1,0,0,EA,0,,,
63,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008205,OIL OUTLET(SEPARATED OIL DISC)(5K-25A),GRS-100EB-03-N6,0,0,1,0,0,EA,0,,,
64,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008206,DRAIN OUTLET (5K-25A),GRS-100EB-03-N7,0,0,1,0,0,EA,0,,,
65,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008207,SKID COAMING DRAIN OUTLET (5K-40A),GRS-100EB-03-N8,0,0,1,0,0,EA,0,,,
66,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008208,BILGE INLET (NOT-RETURN V/V),GRS-100EB-03-V1,0,0,1,0,0,EA,0,,,
67,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008209,ETU BACKWASHING IN (NON-RETURN V/V),GRS-100EB-03-V10,0,0,1,0,0,EA,0,,,
68,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008210,PSU DRAIN (GLOBE V/V),GRS-100EB-03-V11,0,0,1,0,0,EA,0,,,
69,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008211,ETU DRAIN (GLOBE V/V),GRS-100EB-03-V12,0,0,1,0,0,EA,0,,,
70,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008212,PSU SAFETY VALVE,GRS-100EB-03-V13,0,0,1,0,0,EA,0,,,
71,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008213,ETU SAFETY VALVE,GRS-100EB-03-V14,0,0,1,0,0,EA,0,,,
72,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008214,OIL DISCHARGE (2-WAY AIR CYLINDER V/V),GRS-100EB-03-V2,0,0,1,0,0,EA,0,,,
73,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008215,BACKWASHING (3-WAY),GRS-100EB-03-V3,0,0,1,0,0,EA,0,,,
74,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008216,BY-PASS (3WAY),GRS-100EB-03-V4,0,0,1,0,0,EA,0,,,
75,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008217,OVERBOARD/RE-CIR'N (3-WAY CYLINDER V/V),GRS-100EB-03-V5,0,0,1,0,0,EA,0,,,
76,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008218,PRESS.REGULATING (PRESS.REGULATING V/V),GRS-100EB-03-V6,0,0,1,0,0,EA,0,,,
77,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008219,BACKWASHING INLET (PRESS.REDUCING V/V),GRS-100EB-03-V7,0,0,1,0,0,EA,0,,,
78,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008220,PSU BACKWASHING IN (NON-RETURN V/V),GRS-100EB-03-V8,0,0,1,0,0,EA,0,,,
79,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008221,ETU IN/OUT (NON-RETURN V/V),GRS-100EB-03-V9,0,0,1,0,0,EA,0,,,
80,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008222,GLOBE & GLOBE CHECK VALVE,GRS-100EB-05,0,0,1,0,0,EA,0,,,
81,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008223,BODY,GRS-100EB-05-1,0,0,1,0,0,EA,0,,,
82,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008224,HEXAGON NUT,GRS-100EB-05-10,0,0,1,0,0,EA,0,,,
83,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008225,SPLIT PIN,GRS-100EB-05-11,0,0,1,0,0,EA,0,,,
84,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008226,LOCK PLATE,GRS-100EB-05-12,0,0,1,0,0,EA,0,,,
85,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008227,DISC LOCK WASHER,GRS-100EB-05-13,0,0,1,0,0,EA,0,,,
86,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008228,PACKING,GRS-100EB-05-14,0,0,1,0,0,EA,0,,,
87,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008229,NAME PLATE,GRS-100EB-05-15,0,0,1,0,0,EA,0,,,
88,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008230,BONNET,GRS-100EB-05-2,0,0,1,0,0,EA,0,,,
89,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008231,DISC,GRS-100EB-05-3,0,0,1,0,0,EA,0,,,
90,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008232,VALVE DISC NUT,GRS-100EB-05-4,0,0,1,0,0,EA,0,,,
91,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008233,PACKING GLAND,GRS-100EB-05-5,0,0,1,0,0,EA,0,,,
92,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008234,GLAND NUT,GRS-100EB-05-6,0,0,1,0,0,EA,0,,,
93,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008235,STEM,GRS-100EB-05-7,0,0,1,0,0,EA,0,,,
94,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008236,SET SCREW,GRS-100EB-05-8,0,0,1,0,0,EA,0,,,
95,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008237,HAND WHEEL,GRS-100EB-05-9,0,0,1,0,0,EA,0,,,
96,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008238,SHEET PACKING (P.S.U),GRS-100EB-13-1,2,0,1,0,0,EA,49.47,,,
97,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008239,SHEET PACKING (E.T.U),GRS-100EB-13-2,1,0,1,0,0,EA,42.4,,,
98,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008240,HANDHOLE PACKING,GRS-100EB-13-3,0,0,1,0,0,EA,0,,,
99,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008241,COALESCER FILTER (P.S.U),GRS-100EB-13-4,0,0,1,0,0,EA,0,,,
100,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008242,COALESCER FILTER (E.T.U),GRS-100EB-13-5,0,0,1,0,0,EA,0,,,
101,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008243,SPARE BOX,GRS-100EB-13-6,0,0,1,0,0,EA,0,,,
102,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008244,ELECTRIC HEATER,GRS-100EB-D1-H2,0,0,1,0,0,EA,0,,,
103,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008245,2WAY CYLINDER VALVE FOR OIL DISCHARGE,KCA-FA,0,0,1,0,0,EA,0,,,
104,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008246,BODY,KCA-FA-1,0,0,1,0,0,EA,0,,,
105,HHDG,,OILY WATER SEPARATOR(C),"GEORIM ENGINEERING CO., LTD.",VS.BWS.9008247,STEM,KCA-FA-10,0,0,1,0,0,EA,0,,,
